,HOTEL_NAME,HOTEL_URL
35,Welcome Hotel Apartment 2,https://www.tripadvisor.in/Hotel_Review-g295424-d632014-Reviews-Welcome_Hotel_Apartment_2-Dubai_Emirate_of_Dubai.html
36,Tulip Hotel Apartments,https://www.tripadvisor.in/Hotel_Review-g295424-d1222973-Reviews-Tulip_Hotel_Apartments-Dubai_Emirate_of_Dubai.html
37,Crowne Plaza Dubai Festival City,https://www.tripadvisor.in/Hotel_Review-g295424-d754106-Reviews-Crowne_Plaza_Dubai_Festival_City-Dubai_Emirate_of_Dubai.html
38,Pearl City Suites,https://www.tripadvisor.in/Hotel_Review-g295424-d582840-Reviews-Pearl_City_Suites-Dubai_Emirate_of_Dubai.html
39,Grand Millennium Dubai,https://www.tripadvisor.in/Hotel_Review-g295424-d1149156-Reviews-Grand_Millennium_Dubai-Dubai_Emirate_of_Dubai.html
40,Cassells Al Barsha Hotel,https://www.tripadvisor.in/Hotel_Review-g295424-d1811884-Reviews-Cassells_Al_Barsha_Hotel-Dubai_Emirate_of_Dubai.html
41,Bonnington Jumeirah Lakes Towers,https://www.tripadvisor.in/Hotel_Review-g295424-d1449900-Reviews-Bonnington_Jumeirah_Lakes_Towers-Dubai_Emirate_of_Dubai.html
42,Roda Al Bustan,https://www.tripadvisor.in/Hotel_Review-g295424-d302778-Reviews-Roda_Al_Bustan-Dubai_Emirate_of_Dubai.html
43,"Hawthorn Suites by Wyndham Dubai, Jbr",https://www.tripadvisor.in/Hotel_Review-g295424-d5504441-Reviews-Hawthorn_Suites_by_Wyndham_Dubai_Jbr-Dubai_Emirate_of_Dubai.html
44,Dusit  Thani Dubai,https://www.tripadvisor.in/Hotel_Review-g295424-d301379-Reviews-Dusit_Thani_Dubai-Dubai_Emirate_of_Dubai.html
45,"Radisson Blu Hotel, Dubai Media City",https://www.tripadvisor.in/Hotel_Review-g295424-d589362-Reviews-Radisson_Blu_Hotel_Dubai_Media_City-Dubai_Emirate_of_Dubai.html
46,Donatello Hotel,https://www.tripadvisor.in/Hotel_Review-g295424-d582461-Reviews-Donatello_Hotel-Dubai_Emirate_of_Dubai.html
47,DoubleTree by Hilton Hotel & Residences Dubai - Al Barsha,https://www.tripadvisor.in/Hotel_Review-g295424-d5039858-Reviews-DoubleTree_by_Hilton_Hotel_Residences_Dubai_Al_Barsha-Dubai_Emirate_of_Dubai.html
48,Vida Downtown,https://www.tripadvisor.in/Hotel_Review-g295424-d642623-Reviews-Vida_Downtown-Dubai_Emirate_of_Dubai.html
49,Nuran Marina Services Residences,https://www.tripadvisor.in/Hotel_Review-g295424-d671077-Reviews-Nuran_Marina_Services_Residences-Dubai_Emirate_of_Dubai.html
