,HOTEL_NAME,HOTEL_URL
37,"Dolphin Inn Guesthouse, Mouille Point",https://www.tripadvisor.in/Hotel_Review-g312659-d1894659-Reviews-Dolphin_Inn_Guesthouse_Mouille_Point-Cape_Town_Central_Western_Cape.html
38,The Blue House Guesthouse,https://www.tripadvisor.in/Hotel_Review-g312659-d7200155-Reviews-The_Blue_House_Guesthouse-Cape_Town_Central_Western_Cape.html
39,Townhouse Hotel,https://www.tripadvisor.in/Hotel_Review-g312659-d305779-Reviews-Townhouse_Hotel-Cape_Town_Central_Western_Cape.html
40,Cape Standard,https://www.tripadvisor.in/Hotel_Review-g312659-d543384-Reviews-Cape_Standard-Cape_Town_Central_Western_Cape.html
41,Primi Seacastle Guest House,https://www.tripadvisor.in/Hotel_Review-g312658-d305772-Reviews-Primi_Seacastle_Guest_House-Camps_Bay_Western_Cape.html
42,Parliament Hotel,https://www.tripadvisor.in/Hotel_Review-g312659-d305764-Reviews-Parliament_Hotel-Cape_Town_Central_Western_Cape.html
43,Premier Hotel Cape Town,https://www.tripadvisor.in/Hotel_Review-g312659-d303093-Reviews-Premier_Hotel_Cape_Town-Cape_Town_Central_Western_Cape.html
44,Villa Helderberg,https://www.tripadvisor.in/Hotel_Review-g469396-d4549770-Reviews-Villa_Helderberg-Somerset_West_Western_Cape.html
45,Hajo's Lodge,https://www.tripadvisor.in/Hotel_Review-g312665-d579789-Reviews-Hajo_s_Lodge-Milnerton_Western_Cape.html
46,The Bay Hotel,https://www.tripadvisor.in/Hotel_Review-g312658-d302905-Reviews-The_Bay_Hotel-Camps_Bay_Western_Cape.html
47,The Residences at Crystal Towers,https://www.tripadvisor.in/Hotel_Review-g4464136-d2388262-Reviews-The_Residences_at_Crystal_Towers-Century_City_Western_Cape.html
48,Guesthouse Beautiful View CC,https://www.tripadvisor.in/Hotel_Review-g469396-d3498158-Reviews-Guesthouse_Beautiful_View_CC-Somerset_West_Western_Cape.html
49,Atlantic Breeze,https://www.tripadvisor.in/Hotel_Review-g1766200-d1531817-Reviews-Atlantic_Breeze-Sunset_Beach_Western_Cape.html
50,Smithland Guest Apartments,https://www.tripadvisor.in/Hotel_Review-g312669-d3367349-Reviews-Smithland_Guest_Apartments-Parow_Western_Cape.html
51,Somerset Villa Guesthouse,https://www.tripadvisor.in/Hotel_Review-g469396-d2548944-Reviews-Somerset_Villa_Guesthouse-Somerset_West_Western_Cape.html
52,Hotel Verde Cape Town International Airport,https://www.tripadvisor.in/Hotel_Review-g5509852-d4106260-Reviews-Hotel_Verde_Cape_Town_International_Airport-Matroosfontein_Western_Cape.html
53,The Andros Boutique Hotel,https://www.tripadvisor.in/Hotel_Review-g2144715-d562318-Reviews-The_Andros_Boutique_Hotel-Claremont_Western_Cape.html
54,NH Cape Town The Lord Charles,https://www.tripadvisor.in/Hotel_Review-g469396-d1209273-Reviews-NH_Cape_Town_The_Lord_Charles-Somerset_West_Western_Cape.html
55,ONOMO Hotel Cape Town - Inn On The Square,https://www.tripadvisor.in/Hotel_Review-g312659-d305765-Reviews-ONOMO_Hotel_Cape_Town_Inn_On_The_Square-Cape_Town_Central_Western_Cape.html
56,Daddy Long Legs Art Hotel,https://www.tripadvisor.in/Hotel_Review-g312659-d587722-Reviews-Daddy_Long_Legs_Art_Hotel-Cape_Town_Central_Western_Cape.html
57,Spring Tide Inn,https://www.tripadvisor.in/Hotel_Review-g312659-d595776-Reviews-Spring_Tide_Inn-Cape_Town_Central_Western_Cape.html
58,One&Only Cape Town,https://www.tripadvisor.in/Hotel_Review-g312659-d1236689-Reviews-One_Only_Cape_Town-Cape_Town_Central_Western_Cape.html
59,Ellerman House,https://www.tripadvisor.in/Hotel_Review-g312654-d304197-Reviews-Ellerman_House-Bantry_Bay_Western_Cape.html
60,De Waterkant Village,https://www.tripadvisor.in/Hotel_Review-g312659-d305685-Reviews-De_Waterkant_Village-Cape_Town_Central_Western_Cape.html
