,HOTEL_NAME,HOTEL_URL
42,Nouvo City Hotel,https://www.tripadvisor.in/Hotel_Review-g293916-d2027318-Reviews-Nouvo_City_Hotel-Bangkok.html
43,Best Western Plus At 20 Sukhumvit,https://www.tripadvisor.in/Hotel_Review-g293916-d2155557-Reviews-Best_Western_Plus_At_20_Sukhumvit-Bangkok.html
44,AETAS lumpini,https://www.tripadvisor.in/Hotel_Review-g293916-d2089242-Reviews-AETAS_lumpini-Bangkok.html
45,Citadines Sukhumvit 11 Bangkok,https://www.tripadvisor.in/Hotel_Review-g293916-d627545-Reviews-Citadines_Sukhumvit_11_Bangkok-Bangkok.html
46,Citrus Sukhumvit 13 by Compass Hospitality,https://www.tripadvisor.in/Hotel_Review-g293916-d2017721-Reviews-Citrus_Sukhumvit_13_by_Compass_Hospitality-Bangkok.html
47,Grand Mercure Bangkok Fortune,https://www.tripadvisor.in/Hotel_Review-g293916-d299497-Reviews-Grand_Mercure_Bangkok_Fortune-Bangkok.html
48,The Sunreno Serviced Apartment,https://www.tripadvisor.in/Hotel_Review-g293916-d2392415-Reviews-The_Sunreno_Serviced_Apartment-Bangkok.html
49,V Residence Hotel and Serviced Apartment,https://www.tripadvisor.in/Hotel_Review-g293916-d1631067-Reviews-V_Residence_Hotel_and_Serviced_Apartment-Bangkok.html
50,The Period Pratunam,https://www.tripadvisor.in/Hotel_Review-g293916-d3254830-Reviews-The_Period_Pratunam-Bangkok.html
51,Tango Vibrant Living Place,https://www.tripadvisor.in/Hotel_Review-g293916-d1225658-Reviews-Tango_Vibrant_Living_Place-Bangkok.html
52,Navalai River Resort,https://www.tripadvisor.in/Hotel_Review-g293916-d1108233-Reviews-Navalai_River_Resort-Bangkok.html
53,Hope Land Executive Residence,https://www.tripadvisor.in/Hotel_Review-g293916-d1699678-Reviews-Hope_Land_Executive_Residence-Bangkok.html
54,Rama Gardens Hotel Bangkok,https://www.tripadvisor.in/Hotel_Review-g293916-d305525-Reviews-Rama_Gardens_Hotel_Bangkok-Bangkok.html
55,"D Varee Diva Bally Silom, Bangkok",https://www.tripadvisor.in/Hotel_Review-g293916-d1074197-Reviews-D_Varee_Diva_Bally_Silom_Bangkok-Bangkok.html
56,Pullman Bangkok Grande Sukhumvit,https://www.tripadvisor.in/Hotel_Review-g293916-d676566-Reviews-Pullman_Bangkok_Grande_Sukhumvit-Bangkok.html
57,Eastin Grand Hotel Sathorn,https://www.tripadvisor.in/Hotel_Review-g293916-d2318761-Reviews-Eastin_Grand_Hotel_Sathorn-Bangkok.html
58,Sacha's Hotel Uno,https://www.tripadvisor.in/Hotel_Review-g293916-d1160075-Reviews-Sacha_s_Hotel_Uno-Bangkok.html
59,Novotel Bangkok Platinum Pratunam,https://www.tripadvisor.in/Hotel_Review-g293916-d2322600-Reviews-Novotel_Bangkok_Platinum_Pratunam-Bangkok.html
60,Udee Bangkok Hostel,https://www.tripadvisor.in/Hotel_Review-g293916-d1556665-Reviews-Udee_Bangkok_Hostel-Bangkok.html
61,The Oasis Hostel,https://www.tripadvisor.in/Hotel_Review-g293916-d7603389-Reviews-The_Oasis_Hostel-Bangkok.html
62,Feung Nakorn Balcony Rooms & Cafe,https://www.tripadvisor.in/Hotel_Review-g293916-d1894461-Reviews-Feung_Nakorn_Balcony_Rooms_Cafe-Bangkok.html
63,The Tarntawan Hotel Surawong Bangkok,https://www.tripadvisor.in/Hotel_Review-g293916-d554499-Reviews-The_Tarntawan_Hotel_Surawong_Bangkok-Bangkok.html
64,Aspen Suites Hotel Sukhumvit 2 Bangkok by Compass Hospitality,https://www.tripadvisor.in/Hotel_Review-g293916-d1024223-Reviews-Aspen_Suites_Hotel_Sukhumvit_2_Bangkok_by_Compass_Hospitality-Bangkok.html
65,Vic3 Bangkok,https://www.tripadvisor.in/Hotel_Review-g293916-d1965907-Reviews-Vic3_Bangkok-Bangkok.html
