,HOTEL_NAME,HOTEL_URL
64,Medusa,https://www.tripadvisor.in/Hotel_Review-g255060-d584409-Reviews-Medusa-Sydney_New_South_Wales.html
65,Holiday Inn Old Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d255392-Reviews-Holiday_Inn_Old_Sydney-Sydney_New_South_Wales.html
66,Rendezvous Hotel Sydney The Rocks,https://www.tripadvisor.in/Hotel_Review-g255060-d256655-Reviews-Rendezvous_Hotel_Sydney_The_Rocks-Sydney_New_South_Wales.html
67,Veriu Central,https://www.tripadvisor.in/Hotel_Review-g255060-d298414-Reviews-Veriu_Central-Sydney_New_South_Wales.html
68,Crowne Plaza Hotel Coogee Beach - Sydney,https://www.tripadvisor.in/Hotel_Review-g261609-d255383-Reviews-Crowne_Plaza_Hotel_Coogee_Beach_Sydney-Coogee_Randwick_Greater_Sydney_New_South_Wales.html
69,Shakespeare Hotel,https://www.tripadvisor.in/Hotel_Review-g255060-d3582709-Reviews-Shakespeare_Hotel-Sydney_New_South_Wales.html
70,Astral Tower and Residences,https://www.tripadvisor.in/Hotel_Review-g255060-d256649-Reviews-Astral_Tower_and_Residences-Sydney_New_South_Wales.html
71,Mantra 2 Bond Street,https://www.tripadvisor.in/Hotel_Review-g255060-d256632-Reviews-Mantra_2_Bond_Street-Sydney_New_South_Wales.html
72,The Sydney Boulevard Hotel,https://www.tripadvisor.in/Hotel_Review-g255060-d256657-Reviews-The_Sydney_Boulevard_Hotel-Sydney_New_South_Wales.html
73,Travelodge Hotel Martin Place,https://www.tripadvisor.in/Hotel_Review-g255060-d256661-Reviews-Travelodge_Hotel_Martin_Place-Sydney_New_South_Wales.html
74,Quay West Suites Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d256624-Reviews-Quay_West_Suites_Sydney-Sydney_New_South_Wales.html
75,Rydges Sydney Central,https://www.tripadvisor.in/Hotel_Review-g255060-d262382-Reviews-Rydges_Sydney_Central-Sydney_New_South_Wales.html
76,Royal Exhibition Hotel,https://www.tripadvisor.in/Hotel_Review-g255060-d1607218-Reviews-Royal_Exhibition_Hotel-Sydney_New_South_Wales.html
77,Dive Hotel,https://www.tripadvisor.in/Hotel_Review-g261609-d623183-Reviews-Dive_Hotel-Coogee_Randwick_Greater_Sydney_New_South_Wales.html
78,Best Western Plus Hotel Stellar,https://www.tripadvisor.in/Hotel_Review-g255060-d255863-Reviews-Best_Western_Plus_Hotel_Stellar-Sydney_New_South_Wales.html
79,Medina Serviced Apartments Martin Place,https://www.tripadvisor.in/Hotel_Review-g255060-d256577-Reviews-Medina_Serviced_Apartments_Martin_Place-Sydney_New_South_Wales.html
80,Morgans Boutique Hotel,https://www.tripadvisor.in/Hotel_Review-g255060-d256317-Reviews-Morgans_Boutique_Hotel-Sydney_New_South_Wales.html
81,Intercontinental Sydney Double Bay,https://www.tripadvisor.in/Hotel_Review-g552126-d6827689-Reviews-Intercontinental_Sydney_Double_Bay-Woollahra_New_South_Wales.html
82,Sydney Central YHA,https://www.tripadvisor.in/Hotel_Review-g255060-d259222-Reviews-Sydney_Central_YHA-Sydney_New_South_Wales.html
83,ADGE Apartment Hotel,https://www.tripadvisor.in/Hotel_Review-g255060-d4313436-Reviews-ADGE_Apartment_Hotel-Sydney_New_South_Wales.html
84,Glebe Point YHA,https://www.tripadvisor.in/Hotel_Review-g255060-d286115-Reviews-Glebe_Point_YHA-Sydney_New_South_Wales.html
85,City Lodge,https://www.tripadvisor.in/Hotel_Review-g255060-d1452317-Reviews-City_Lodge-Sydney_New_South_Wales.html
86,Waldorf Drummoyne Serviced Apartments,https://www.tripadvisor.in/Hotel_Review-g552094-d273182-Reviews-Waldorf_Drummoyne_Serviced_Apartments-Drummoyne_New_South_Wales.html
87,Macleay Lodge Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d598066-Reviews-Macleay_Lodge_Sydney-Sydney_New_South_Wales.html
88,Jackaroo Hostel,https://www.tripadvisor.in/Hotel_Review-g255060-d1950653-Reviews-Jackaroo_Hostel-Sydney_New_South_Wales.html
89,Pullman Quay Grand Sydney Harbour,https://www.tripadvisor.in/Hotel_Review-g255060-d256622-Reviews-Pullman_Quay_Grand_Sydney_Harbour-Sydney_New_South_Wales.html
90,The Westin Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d256659-Reviews-The_Westin_Sydney-Sydney_New_South_Wales.html
91,Adina Apartment Hotel Coogee Sydney,https://www.tripadvisor.in/Hotel_Review-g261609-d257299-Reviews-Adina_Apartment_Hotel_Coogee_Sydney-Coogee_Randwick_Greater_Sydney_New_South_Wales.html
92,Hilton Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d255650-Reviews-Hilton_Sydney-Sydney_New_South_Wales.html
93,Meriton Suites Waterloo,https://www.tripadvisor.in/Hotel_Review-g255060-d572865-Reviews-Meriton_Suites_Waterloo-Sydney_New_South_Wales.html
